date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2020-10-01,9.51,1.13,29,"1990-10-01 2019-10-01",93.48,3.82,29,"1990-10-01 2019-10-01",13.57,0.81,30,"1990-10-01 2019-10-01",23.51,3,30,"1990-10-01 2019-10-01",5.54,1.42,29,"1990-10-01 2019-10-01",70.23,4.06,29,"1990-10-01 2019-10-01",7.16,1.12,30,"1990-10-01 2019-10-01",2.81,1.07,30,"1990-10-01 2019-10-01",125.49,56.08,30,"1990-10-01 2019-10-01",125.38,56.26,30,"1990-10-01 2019-10-01",0.07,0.36,30,"1990-10-01 2019-10-01",0,0.01,27,"1990-10-01 2016-10-01",,,,
2020-09-01,13.1,1.07,29,"1990-09-01 2019-09-01",91.89,3.46,29,"1990-09-01 2019-09-01",19.01,0.98,30,"1990-09-01 2019-09-01",22.52,2.34,29,"1990-09-01 2019-09-01",9.35,1.02,29,"1990-09-01 2019-09-01",63.77,3.51,29,"1990-09-01 2019-09-01",11.25,0.75,30,"1990-09-01 2019-09-01",2.53,1.11,29,"1990-09-01 2019-09-01",60.33,44.48,30,"1990-09-01 2019-09-01",59.89,43.7,30,"1990-09-01 2019-09-01",0,0,30,"1990-09-01 2019-09-01",0,0,25,"1990-09-01 2016-09-01",,,,
2020-08-01,15.03,0.99,28,"1990-08-01 2018-08-01",88.74,3.52,28,"1990-08-01 2018-08-01",22.46,0.83,30,"1990-08-01 2019-08-01",21.64,2.24,29,"1990-08-01 2019-08-01",11.45,0.97,28,"1990-08-01 2018-08-01",58,3.54,28,"1990-08-01 2018-08-01",14.06,0.54,30,"1990-08-01 2019-08-01",2.71,0.93,29,"1990-08-01 2019-08-01",35.51,35.38,30,"1990-08-01 2019-08-01",35.51,35.38,30,"1990-08-01 2019-08-01",0,0,30,"1990-08-01 2019-08-01",0,0,26,"1990-08-01 2016-08-01",,,,
2020-07-01,14.65,0.98,30,"1990-07-01 2019-07-01",86.47,4.09,30,"1990-07-01 2019-07-01",22.48,1,30,"1990-07-01 2019-07-01",22.46,2.34,30,"1990-07-01 2019-07-01",10.95,1.03,30,"1990-07-01 2019-07-01",56.12,3.83,30,"1990-07-01 2019-07-01",14.03,0.71,30,"1990-07-01 2019-07-01",3.67,1.1,30,"1990-07-01 2019-07-01",30.49,21.72,30,"1990-07-01 2019-07-01",30.4,21.71,30,"1990-07-01 2019-07-01",0,0,30,"1990-07-01 2019-07-01",0,0,27,"1990-07-01 2017-07-01",,,,
2020-06-01,12.46,1.1,30,"1990-06-01 2019-06-01",86.99,4.34,30,"1990-06-01 2019-06-01",19.73,1.24,30,"1990-06-01 2019-06-01",22.6,2.12,30,"1990-06-01 2019-06-01",8.49,1.06,30,"1990-06-01 2019-06-01",56.49,3.55,30,"1990-06-01 2019-06-01",11.89,0.72,30,"1990-06-01 2019-06-01",3.65,1.03,30,"1990-06-01 2019-06-01",50.69,25.77,30,"1990-06-01 2019-06-01",50.65,25.78,30,"1990-06-01 2019-06-01",0,0,30,"1990-06-01 2019-06-01",0,0,27,"1990-06-01 2016-06-01",,,,
2020-05-01,10.34,1.35,29,"1990-05-01 2019-05-01",88.18,3.87,29,"1990-05-01 2019-05-01",17.03,1.24,30,"1990-05-01 2019-05-01",23.62,2.03,30,"1990-05-01 2019-05-01",5.98,1.52,29,"1990-05-01 2019-05-01",57.46,3.66,29,"1990-05-01 2019-05-01",9.14,0.94,30,"1990-05-01 2019-05-01",3.19,0.82,30,"1990-05-01 2019-05-01",57.15,27.08,30,"1990-05-01 2019-05-01",56.79,26.92,30,"1990-05-01 2019-05-01",0,0,30,"1990-05-01 2019-05-01",0,0,28,"1990-05-01 2017-05-01",,,,
2020-04-01,7.46,1.16,30,"1990-04-01 2019-04-01",89.38,3.62,30,"1990-04-01 2019-04-01",13.21,1.03,30,"1990-04-01 2019-04-01",25.34,2.93,30,"1990-04-01 2019-04-01",2.75,1.35,30,"1990-04-01 2019-04-01",58.66,3.43,30,"1990-04-01 2019-04-01",5.81,0.92,30,"1990-04-01 2019-04-01",3.16,1.2,30,"1990-04-01 2019-04-01",87.84,37.51,30,"1990-04-01 2019-04-01",87.5,37.44,30,"1990-04-01 2019-04-01",0.08,0.4,30,"1990-04-01 2019-04-01",0,0,27,"1990-04-01 2016-04-01",,,,
2020-03-01,5.36,1.47,30,"1990-03-01 2019-03-01",90.75,3.82,30,"1990-03-01 2019-03-01",10.25,1.13,30,"1990-03-01 2019-03-01",26.08,3.59,30,"1990-03-01 2019-03-01",0.72,1.7,30,"1990-03-01 2019-03-01",62.76,3.93,30,"1990-03-01 2019-03-01",3.41,1.08,30,"1990-03-01 2019-03-01",3.76,1.49,30,"1990-03-01 2019-03-01",117.53,46.63,30,"1990-03-01 2019-03-01",115.39,46.51,30,"1990-03-01 2019-03-01",2.33,4.23,30,"1990-03-01 2019-03-01",0,0.12,28,"1990-03-01 2017-03-01",,,,
2020-02-01,3.82,2.02,30,"1990-02-01 2019-02-01",91.48,4.12,30,"1990-02-01 2019-02-01",7.95,1.55,30,"1990-02-01 2019-02-01",23.56,3.7,30,"1990-02-01 2019-02-01",-0.71,2.65,30,"1990-02-01 2019-02-01",67.31,6.65,30,"1990-02-01 2019-02-01",1.53,1.8,30,"1990-02-01 2019-02-01",3.1,1.55,30,"1990-02-01 2019-02-01",96.73,41.8,30,"1990-02-01 2019-02-01",88.65,39.88,30,"1990-02-01 2019-02-01",7.67,12.57,30,"1990-02-01 2019-02-01",0.9,2.19,30,"1990-02-01 2019-02-01",,,,
2020-01-01,4.02,1.77,30,"1990-01-01 2019-01-01",94.38,2.55,30,"1990-01-01 2019-01-01",6.86,1.5,30,"1990-01-01 2019-01-01",23.42,3.52,30,"1990-01-01 2019-01-01",0.01,2.32,30,"1990-01-01 2019-01-01",75.65,5.44,30,"1990-01-01 2019-01-01",1.4,1.75,30,"1990-01-01 2019-01-01",3.44,1.34,30,"1990-01-01 2019-01-01",169.42,50.95,30,"1990-01-01 2019-01-01",160.38,52.98,30,"1990-01-01 2019-01-01",8.4,12.14,30,"1990-01-01 2019-01-01",1.2,2.38,28,"1990-01-01 2017-01-01",,,,
2019-12-01,3.27,2.01,30,"1989-12-01 2018-12-01",94.03,2.58,30,"1989-12-01 2018-12-01",6.44,1.42,30,"1989-12-01 2018-12-01",24.44,3.25,30,"1989-12-01 2018-12-01",-0.72,2.07,30,"1989-12-01 2018-12-01",75.15,4.84,30,"1989-12-01 2018-12-01",1.07,1.51,30,"1989-12-01 2018-12-01",3.62,1.25,30,"1989-12-01 2018-12-01",169.73,53.04,30,"1989-12-01 2018-12-01",154.96,50.39,30,"1989-12-01 2018-12-01",13.77,23.12,30,"1989-12-01 2018-12-01",0.9,2.15,29,"1989-12-01 2017-12-01",,,,
2019-11-01,6.22,1.47,29,"1989-11-01 2018-11-01",94.14,3.47,29,"1989-11-01 2018-11-01",9.38,1.12,30,"1989-11-01 2018-11-01",25.2,3.08,30,"1989-11-01 2018-11-01",2.1,1.72,29,"1989-11-01 2018-11-01",72.92,3.92,29,"1989-11-01 2018-11-01",3.63,1.42,30,"1989-11-01 2018-11-01",3.76,1.56,30,"1989-11-01 2018-11-01",182.35,59.9,30,"1989-11-01 2018-11-01",179.2,56.63,30,"1989-11-01 2018-11-01",2.72,7.81,30,"1989-11-01 2018-11-01",0.2,0.56,28,"1989-11-01 2016-11-01",,,,
2019-10-01,9.58,1.08,29,"1989-10-01 2018-10-01",93.61,3.82,29,"1989-10-01 2018-10-01",13.62,0.77,30,"1989-10-01 2018-10-01",23.41,3.04,30,"1989-10-01 2018-10-01",5.65,1.33,29,"1989-10-01 2018-10-01",70.41,4,29,"1989-10-01 2018-10-01",7.23,1.05,30,"1989-10-01 2018-10-01",2.75,1.07,30,"1989-10-01 2018-10-01",124.62,56.32,30,"1989-10-01 2018-10-01",124.5,56.5,30,"1989-10-01 2018-10-01",0.07,0.36,30,"1989-10-01 2018-10-01",0,0.01,28,"1989-10-01 2016-10-01",,,,
2019-09-01,13.07,1.06,29,"1989-09-01 2018-09-01",91.87,3.46,29,"1989-09-01 2018-09-01",19.04,0.99,30,"1989-09-01 2018-09-01",22.38,2.39,29,"1989-09-01 2018-09-01",9.3,1.02,29,"1989-09-01 2018-09-01",63.51,3.56,29,"1989-09-01 2018-09-01",11.2,0.74,30,"1989-09-01 2018-09-01",2.4,1.11,29,"1989-09-01 2018-09-01",56.63,43.79,30,"1989-09-01 2018-09-01",56.19,42.96,30,"1989-09-01 2018-09-01",0,0,30,"1989-09-01 2018-09-01",0,0,26,"1989-09-01 2016-09-01",,,,
2019-08-01,15.01,0.97,29,"1989-08-01 2018-08-01",88.87,3.53,29,"1989-08-01 2018-08-01",22.39,0.87,30,"1989-08-01 2018-08-01",21.65,2.23,29,"1989-08-01 2018-08-01",11.45,0.95,29,"1989-08-01 2018-08-01",58.16,3.58,29,"1989-08-01 2018-08-01",14.04,0.55,30,"1989-08-01 2018-08-01",2.65,1,29,"1989-08-01 2018-08-01",36.75,35.68,30,"1989-08-01 2018-08-01",36.75,35.68,30,"1989-08-01 2018-08-01",0,0,30,"1989-08-01 2018-08-01",0,0,27,"1989-08-01 2016-08-01",,,,
