,Date,Height_m
333,2021-03-28 05:19:00,4.9
334,2021-03-28 11:36:00,2.1
335,2021-03-28 17:20:00,4.5
336,2021-03-28 23:33:00,1.7
337,2021-03-29 05:46:00,4.9
338,2021-03-29 12:15:00,1.6
339,2021-03-29 18:18:00,4.6
340,2021-03-30 00:17:00,2.0
341,2021-03-30 06:15:00,5.0
342,2021-03-30 12:56:00,1.2
343,2021-03-30 19:19:00,4.7
344,2021-03-31 01:03:00,2.5
345,2021-03-31 06:46:00,4.9
346,2021-03-31 13:40:00,0.9
347,2021-03-31 20:24:00,4.7
348,2021-04-01 01:55:00,2.9
349,2021-04-01 07:20:00,4.8
350,2021-04-01 14:27:00,0.8
351,2021-04-01 21:34:00,4.7
352,2021-04-02 02:55:00,3.3
353,2021-04-02 07:57:00,4.6
354,2021-04-02 15:18:00,0.8
355,2021-04-02 22:50:00,4.7
356,2021-04-03 04:09:00,3.5
357,2021-04-03 08:39:00,4.3
358,2021-04-03 16:15:00,0.9
359,2021-04-04 00:08:00,4.7
360,2021-04-04 05:44:00,3.6
361,2021-04-04 09:32:00,4.0
362,2021-04-04 17:19:00,1.1
363,2021-04-05 01:21:00,4.8
364,2021-04-05 07:27:00,3.5
365,2021-04-05 10:52:00,3.7
366,2021-04-05 18:30:00,1.3
367,2021-04-06 02:23:00,4.8
368,2021-04-06 08:43:00,3.2
369,2021-04-06 12:34:00,3.6
370,2021-04-06 19:39:00,1.5
371,2021-04-07 03:11:00,4.8
372,2021-04-07 09:32:00,3.0
373,2021-04-07 14:03:00,3.7
374,2021-04-07 20:41:00,1.6
375,2021-04-08 03:48:00,4.8
376,2021-04-08 10:10:00,2.7
377,2021-04-08 15:12:00,3.8
378,2021-04-08 21:33:00,1.7
379,2021-04-09 04:18:00,4.7
380,2021-04-09 10:42:00,2.4
381,2021-04-09 16:08:00,4.0
382,2021-04-09 22:18:00,1.9
383,2021-04-10 04:44:00,4.7
384,2021-04-10 11:12:00,2.1
385,2021-04-10 16:58:00,4.1
386,2021-04-10 22:58:00,2.1
387,2021-04-11 05:06:00,4.7
388,2021-04-11 11:41:00,1.8
389,2021-04-11 17:45:00,4.2
390,2021-04-11 23:35:00,2.4
391,2021-04-12 05:28:00,4.6
392,2021-04-12 12:09:00,1.6
393,2021-04-12 18:31:00,4.4
394,2021-04-13 00:12:00,2.7
395,2021-04-13 05:48:00,4.5
396,2021-04-13 12:37:00,1.4
397,2021-04-13 19:17:00,4.4
398,2021-04-14 00:49:00,2.9
399,2021-04-14 06:08:00,4.4
400,2021-04-14 13:06:00,1.2
401,2021-04-14 20:04:00,4.5
402,2021-04-15 01:28:00,3.2
403,2021-04-15 06:26:00,4.3
404,2021-04-15 13:36:00,1.2
405,2021-04-15 20:52:00,4.5
406,2021-04-16 02:12:00,3.4
407,2021-04-16 06:44:00,4.1
408,2021-04-16 14:08:00,1.2
409,2021-04-16 21:43:00,4.5
410,2021-04-17 03:05:00,3.6
411,2021-04-17 07:03:00,4.0
412,2021-04-17 14:46:00,1.2
413,2021-04-17 22:41:00,4.5
414,2021-04-18 04:18:00,3.7
415,2021-04-18 07:23:00,3.9
416,2021-04-18 15:31:00,1.3
417,2021-04-18 23:43:00,4.5
418,2021-04-19 05:58:00,3.7
419,2021-04-19 07:49:00,3.7
420,2021-04-19 16:26:00,1.5
421,2021-04-20 00:46:00,4.5
422,2021-04-20 07:39:00,3.5
423,2021-04-20 08:50:00,3.6
424,2021-04-20 17:31:00,1.6
425,2021-04-21 01:38:00,4.6
426,2021-04-21 08:20:00,3.3
427,2021-04-21 11:16:00,3.4
428,2021-04-21 18:39:00,1.6
429,2021-04-22 02:20:00,4.6
430,2021-04-22 08:50:00,3.0
431,2021-04-22 13:06:00,3.5
432,2021-04-22 19:43:00,1.7
433,2021-04-23 02:53:00,4.7
434,2021-04-23 09:20:00,2.7
435,2021-04-23 14:25:00,3.8
436,2021-04-23 20:40:00,1.8
437,2021-04-24 03:21:00,4.7
438,2021-04-24 09:53:00,2.2
439,2021-04-24 15:30:00,4.0
440,2021-04-24 21:33:00,1.9
441,2021-04-25 03:49:00,4.8
442,2021-04-25 10:28:00,1.7
443,2021-04-25 16:31:00,4.3
444,2021-04-25 22:22:00,2.2
445,2021-04-26 04:18:00,4.9
446,2021-04-26 11:06:00,1.2
447,2021-04-26 17:30:00,4.6
448,2021-04-26 23:11:00,2.5
449,2021-04-27 04:49:00,4.9
450,2021-04-27 11:46:00,0.7
451,2021-04-27 18:29:00,4.8
