Team,Phase of Play,Action,Quarter,Zone,Count
home,attack,circle entry,first,1,0
home,attack,circle entry,first,2,0
home,attack,circle entry,first,3,0
home,attack,circle entry,first,4,1
home,attack,circle entry,first,5,0
home,attack,circle entry,first,6,1
home,attack,circle entry,first,7,0
home,attack,circle entry,first,8,0
home,attack,circle entry,first,9,0
home,attack,circle entry,second,1,0
home,attack,circle entry,second,2,1
home,attack,circle entry,second,3,0
home,attack,circle entry,second,4,0
home,attack,circle entry,second,5,0
home,attack,circle entry,second,6,1
home,attack,circle entry,second,7,0
home,attack,circle entry,second,8,0
home,attack,circle entry,second,9,2
home,attack,circle entry,third,1,0
home,attack,circle entry,third,2,1
home,attack,circle entry,third,3,1
home,attack,circle entry,third,4,0
home,attack,circle entry,third,5,1
home,attack,circle entry,third,6,3
home,attack,circle entry,third,7,0
home,attack,circle entry,third,8,0
home,attack,circle entry,third,9,2
home,attack,circle entry,fourth,1,0
home,attack,circle entry,fourth,2,2
home,attack,circle entry,fourth,3,0
home,attack,circle entry,fourth,4,1
home,attack,circle entry,fourth,5,0
home,attack,circle entry,fourth,6,3
home,attack,circle entry,fourth,7,2
home,attack,circle entry,fourth,8,0
home,attack,circle entry,fourth,9,1
away,attack,circle entry,first,1,0
away,attack,circle entry,first,2,2
away,attack,circle entry,first,3,0
away,attack,circle entry,first,4,0
away,attack,circle entry,first,5,0
away,attack,circle entry,first,6,1
away,attack,circle entry,first,7,0
away,attack,circle entry,first,8,0
away,attack,circle entry,first,9,0
away,attack,circle entry,second,1,0
away,attack,circle entry,second,2,1
away,attack,circle entry,second,3,1
away,attack,circle entry,second,4,0
away,attack,circle entry,second,5,1
away,attack,circle entry,second,6,1
away,attack,circle entry,second,7,1
away,attack,circle entry,second,8,0
away,attack,circle entry,second,9,0
away,attack,circle entry,third,1,0
away,attack,circle entry,third,2,0
away,attack,circle entry,third,3,0
away,attack,circle entry,third,4,0
away,attack,circle entry,third,5,1
away,attack,circle entry,third,6,1
away,attack,circle entry,third,7,2
away,attack,circle entry,third,8,0
away,attack,circle entry,third,9,0
away,attack,circle entry,fourth,1,0
away,attack,circle entry,fourth,2,0
away,attack,circle entry,fourth,3,0
away,attack,circle entry,fourth,4,0
away,attack,circle entry,fourth,5,0
away,attack,circle entry,fourth,6,0
away,attack,circle entry,fourth,7,0
away,attack,circle entry,fourth,8,0
away,attack,circle entry,fourth,9,0
