,Date,Height_m
124,2021-02-02 02:17:00,1.6
125,2021-02-02 09:05:00,5.1
126,2021-02-02 15:41:00,2.4
127,2021-02-02 21:09:00,3.9
128,2021-02-03 03:02:00,2.2
129,2021-02-03 09:37:00,5.1
130,2021-02-03 16:36:00,2.0
131,2021-02-03 22:39:00,3.9
132,2021-02-04 03:56:00,2.8
133,2021-02-04 10:12:00,4.9
134,2021-02-04 17:34:00,1.6
135,2021-02-05 00:23:00,4.0
136,2021-02-05 05:05:00,3.3
137,2021-02-05 10:52:00,4.8
138,2021-02-05 18:34:00,1.3
139,2021-02-06 02:06:00,4.3
140,2021-02-06 06:34:00,3.7
141,2021-02-06 11:38:00,4.6
142,2021-02-06 19:33:00,1.1
143,2021-02-07 03:24:00,4.6
144,2021-02-07 08:07:00,3.9
145,2021-02-07 12:34:00,4.5
146,2021-02-07 20:31:00,0.9
147,2021-02-08 04:22:00,4.9
148,2021-02-08 09:25:00,3.8
149,2021-02-08 13:37:00,4.4
150,2021-02-08 21:25:00,0.7
151,2021-02-09 05:08:00,5.0
152,2021-02-09 10:25:00,3.7
153,2021-02-09 14:40:00,4.4
154,2021-02-09 22:15:00,0.7
155,2021-02-10 05:48:00,5.1
156,2021-02-10 11:13:00,3.6
157,2021-02-10 15:39:00,4.4
158,2021-02-10 22:59:00,0.7
159,2021-02-11 06:23:00,5.1
160,2021-02-11 11:56:00,3.4
161,2021-02-11 16:33:00,4.4
162,2021-02-11 23:41:00,0.8
163,2021-02-12 06:55:00,5.1
164,2021-02-12 12:37:00,3.2
165,2021-02-12 17:23:00,4.4
166,2021-02-13 00:20:00,1.0
167,2021-02-13 07:23:00,5.0
168,2021-02-13 13:18:00,3.0
169,2021-02-13 18:13:00,4.3
170,2021-02-14 00:55:00,1.3
171,2021-02-14 07:50:00,5.0
172,2021-02-14 13:58:00,2.8
173,2021-02-14 19:05:00,4.1
174,2021-02-15 01:30:00,1.7
175,2021-02-15 08:15:00,4.9
176,2021-02-15 14:39:00,2.5
177,2021-02-15 19:59:00,4.0
178,2021-02-16 02:03:00,2.1
179,2021-02-16 08:40:00,4.8
180,2021-02-16 15:19:00,2.3
181,2021-02-16 21:02:00,3.9
182,2021-02-17 02:38:00,2.6
183,2021-02-17 09:03:00,4.7
184,2021-02-17 16:00:00,2.1
185,2021-02-17 22:15:00,3.8
186,2021-02-18 03:17:00,3.0
187,2021-02-18 09:25:00,4.5
188,2021-02-18 16:44:00,2.0
189,2021-02-18 23:45:00,3.9
190,2021-02-19 04:07:00,3.4
191,2021-02-19 09:48:00,4.3
192,2021-02-19 17:33:00,1.9
193,2021-02-20 01:26:00,4.0
194,2021-02-20 05:27:00,3.8
195,2021-02-20 10:13:00,4.2
196,2021-02-20 18:28:00,1.7
197,2021-02-21 02:48:00,4.3
198,2021-02-21 07:21:00,3.9
199,2021-02-21 10:51:00,4.1
200,2021-02-21 19:27:00,1.6
201,2021-02-22 03:43:00,4.5
202,2021-02-22 08:54:00,3.9
203,2021-02-22 11:59:00,4.0
204,2021-02-22 20:23:00,1.4
205,2021-02-23 04:25:00,4.6
206,2021-02-23 09:46:00,3.8
207,2021-02-23 13:21:00,4.1
208,2021-02-23 21:14:00,1.2
209,2021-02-24 04:59:00,4.7
210,2021-02-24 10:21:00,3.7
211,2021-02-24 14:29:00,4.2
212,2021-02-24 21:59:00,1.0
213,2021-02-25 05:29:00,4.8
214,2021-02-25 10:53:00,3.5
215,2021-02-25 15:26:00,4.3
216,2021-02-25 22:41:00,0.9
217,2021-02-26 05:55:00,4.9
218,2021-02-26 11:27:00,3.3
219,2021-02-26 16:19:00,4.4
220,2021-02-26 23:20:00,0.9
221,2021-02-27 06:20:00,4.9
222,2021-02-27 12:04:00,3.0
223,2021-02-27 17:11:00,4.5
224,2021-02-27 23:58:00,1.0
225,2021-02-28 06:45:00,5.0
226,2021-02-28 12:44:00,2.6
227,2021-02-28 18:06:00,4.5
228,2021-03-01 00:37:00,1.3
229,2021-03-01 07:11:00,5.1
230,2021-03-01 13:27:00,2.2
231,2021-03-01 19:05:00,4.4
