,datasetid,recordid,record_timestamp,fields.status,fields.descriptionofwork,fields.yearofinstallation,fields.photourl.mimetype,fields.photourl.format,fields.photourl.filename,fields.photourl.width,fields.photourl.id,fields.photourl.height,fields.photourl.thumbnail,fields.sitename,fields.registryid,fields.url,fields.neighbourhood,fields.geom.type,fields.geom.coordinates,fields.photocredits,fields.ownership,fields.artists,fields.siteaddress,fields.artistprojectstatement,fields.geo_local_area,fields.type,fields.primarymaterial,fields.locationonsite,longitude,latitude
0,public-art,0247724b241e2414f770a80af4fbbd4b78b5b5a4,2020-06-22T10:31:46.074000+00:00,In place,"A full figure bronze statue of Captain George Vancouver stands on the north side of City Hall, pointing towards Vancouver harbour and holding a partially open scroll in his left hand. The figure commemorates the events of 1792, when Captain George, a representative of King George III of England, sailed into Burrard Inlet and charted the area.",1936,application/octet-stream,aspx?AreaId=1&ImageId=1,LAW1-1.jpg,300.0,6dfd36260587f27540709ca506c4e81c,300.0,False,Vancouver City Hall,1,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=1,Mount Pleasant,Point,"[-123.113918, 49.261185]",Barbara Cole,City of Vancouver,98,453 West 12th Avenue,"A new city hall and a statue of Captain George Vancouver were commissioned to commemorate Vancouver's Golden Jubilee in 1936. The architect of the new City Hall at Strathcona Park on West 12th Avenue, Fred Townley, proposed the sculpture, commissioned by the Vancouver Canadian Club, be placed on the plaza on the north side of the building. Noted BC sculptor, Charles Marega, was commissioned (for about $5500) to create a life-size sculpture of the man who mapped the harbour in 1792 and after whom the city is named. 
Marega began by setting up 500 pounds of clay on a turntable in his Hornby Street Studio. From the clay model, he made a plaster cast which was then used to cast the finished work in ""Roman bronze"". It was cast at Ornamental Bronze, a foundry in Vancouver. The work was installed on August 20, 1936.The bronze figure standing atop the granite plinth is said to bear little physical resemblance to Captain George. The sculpture was copied from a maquette, which had been fashioned after a painting that was in turn, a copy from an original painting.
An interesting conversation is recorded between Major Matthews, the City Archivist, and Townley. 
Matthews: ""Mr. Townley, the ""Sun"" newspaper wants to know how much the Vancouver statue cost and who paid for it.""
Townley: ""What do they want to bring that up for? Leave sleeping dogs lie. I've been afraid that matter would come up, but it has not...why bring it up now? It was all in the contract; everything was above board; there's nothing to hide; but if it gets out what it cost, then some fool will start writing to the newspapers, or something, and complain of the waste of money; say it ought to have been given towards the support of some fool scheme of his own, the ""home for incurable dogs"", or some other idiotic thing"".
Matthews: ""Alright; drop it, I don't want to know; the ""Sun"" is publishing a story on the statue, and I suppose they want to put the cost in.""
Townley: ""Well, Charles Marega made it, and baby bonds paid for it...I don't know exactly what it cost; it would be hard to find out; part of it was in the stone work cost. Marega for $5000, and then there was the base; so much per square foot for the base, perhaps $500 for that...""
The statue was cleaned in 2001, 65 years after its installation and in time for the city's 115th birthday. The bill for cost of cleaning was $5800, almost the same amount as the original statue cost. This sculpture is on the City of Vancouver's Heritage Inventory list and, as a proud homage to a great explorer, has stood the test of time.",Mount Pleasant,Figurative,bronze,"North entrance, exterior, in front of stairs",-123.113918,49.261185
1,public-art,dca3042258484769277a8fad001ebac0dfc16f98,2020-06-22T10:31:46.074000+00:00,In place,This classic bust depicts the entrepreneur Charles Bentall who died in 1974.,1977,application/octet-stream,aspx?AreaId=8&ImageId=1615,LBentallBust.JPG,300.0,474f32613a9576400ec109ba2736fcfd,300.0,False,Bentall Bldg.,8,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=8,Downtown,Point,"[-123.1178, 49.286828]",,private,241,501 Burrard Street,,Downtown,Figurative,bronze,"Moved to plaza level between 555 & 595 Burrard, formerly located between the two towers, above fountain",-123.1178,49.286828
2,public-art,d11e027f8f3e336c8076b5727c5ccfe0955c3ec0,2020-06-22T10:31:46.074000+00:00,In place,An abstract sculpture of stainless steel with carved cedar planks that fan out in a spiral.,1986,application/octet-stream,aspx?AreaId=27&ImageId=21,LAW27-1.jpg,300.0,25a422b0cc36381e0c0ab681d38f602d,300.0,False,Devonian Harbour Park,27,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=27,Downtown,Point,"[-123.133965, 49.293313]","SITE Photography, 2016",City of Vancouver,103,Denman & Georgia Street,"""McHaffie says she means to show movement, but not flight. 'My perception of the world is that very little of it is stable,' she says."" -Vancouver Sun, July 19,1986                                             The sculpture was installed as one of ten pieces in the City Shapes sculpture symposium in the City's centennial year.",Downtown,Sculpture,"Stainless steel, cedar",Lawn along Georgia Street,-123.133965,49.293313
3,public-art,f90d79cd27ef3a24e0908c7ddc6f27d65d5f6a0b,2020-06-22T10:31:46.074000+00:00,Removed,A glass prism on a bronze pedestal contains six spheres which reflect the traffic patterns on  the Georgia Viaduct.  The sculpture is surrounded by shrubs.,1972,application/octet-stream,aspx?AreaId=31&ImageId=25,LAW31-1.jpg,300.0,e84348a6e18f76c0ab64f96356899349,300.0,False,Abutment Park,31,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=31,Downtown,Point,"[-123.1122, 49.278977]",,City of Vancouver,264,Georgia & Beatty Street,,Downtown,Sculpture,"Glass, Plexiglas & bronze",S.W. corner of park,-123.1122,49.278977
4,public-art,53759e9450bd586b4355dff0c5edfe7603a9a1df,2020-06-22T10:31:46.074000+00:00,In place,"This carved granite postman bas-relief by Paul Huba was designated as protected heritage property by the CIty of Vancouver on September 18, 2018.",1955,application/octet-stream,aspx?AreaId=42&ImageId=34,LAW42-1.jpg,300.0,bd81a6986016c1c2c0b610a67c7fabd5,300.0,False,Main Post Office,42,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=42,Downtown,Point,"[-123.11481, 49.28063]",Maxime Cyr-Morton,Privately owned,76,349 West Georgia,,Downtown,Relief,Red granite,SW corner on Homer Street,-123.11481,49.28063
5,public-art,15465ee89320cb95f302664bb754a6f09ff1b146,2020-06-22T10:31:46.074000+00:00,Removed,The fountain was commissioned by the BC Government in 1966 when the building was still a courthouse. The tile floor of the pool looks like water rippling and there are faces carved into the stone that rises in the middle of the pool.,1966,application/octet-stream,aspx?AreaId=43&ImageId=35,LAW43-1.jpg,300.0,b7f9094e9088d3496f46cc49a2343ebb,300.0,False,Vancouver Art Gallery,43,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=43,Downtown,Point,"[-123.120461, 49.282879]",,Province of British Columbia,128;231,750 Hornby Street,,Downtown,Fountain or water feature,"Bronze, ceramic tile",Front plaza,-123.120461,49.282879
6,public-art,41151667fcb89ba031d2cf52cc89a627d8b2f67e,2020-06-22T10:31:46.074000+00:00,In place,The copper bas-relief with abstract design and texture that hangs above the doors as well as the enameled entrance doors themselves are done by the artists.,1965,application/octet-stream,aspx?AreaId=48&ImageId=39,LAW48-1.jpg,300.0,cf0288e414c0baf0faa7f556832d4894,300.0,False,Block Bldg.,48,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=48,Fairview,Point,"[-123.138913, 49.261911]",,private,144;145,2695 Granville Street,,Fairview,Relief,"Copper, glass","Exterior, front entrance",-123.138913,49.261911
7,public-art,a2ab5d102fb1073c2bb12f84e4c09d0e100d432b,2020-06-22T10:31:46.074000+00:00,In place,,1967,application/octet-stream,aspx?AreaId=63&ImageId=48,LAW63-1.jpg,300.0,d43aa6e2e088ccba8b7510cb090afc61,300.0,False,Victory Square,63,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=63,Downtown,Point,"[-123.109894, 49.28209]",,City of Vancouver,41,Hastings & Cambie Street,,Downtown,Sculpture,Aluminum,South end of park,-123.109894,49.28209
8,public-art,752b3fd033103783015c62130f89c15dc3da3e25,2020-06-22T10:31:46.074000+00:00,In place,"A low black granite “lotus” radiating from a round centre ring sits in the middle of a long narrow pool between Pacific Boulevard and the seawall.  Water wells up in the centre of the flower and spills out over the stylized petals, falling from between the serrated points into the pool below. The full flower is visible from the apartments above. The lotus form honours the history of Chinese immigrants and their contribution to the railway and the industries around False Creek. Three black granite circles are inset into the white concrete around the pool.  These rings echo the Ring Gear on Pacific Boulevard. Skateboarders like to practice on the flat surfaces around the pool. The area is finished with trees and simple black granite benches.",2000,application/octet-stream,aspx?AreaId=65&ImageId=50,LAW65-1.jpg,300.0,515acb754018ccf1a5b19c4fabf8ef28,300.0,False,Boathouse Mews,65,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=65,Downtown,Point,"[-123.117552, 49.273857]",,Privately owned,221,Between Davie Street & Coopers Mews,"The project, for me, was about space for public use where art would help shape, animate and give meaning to that space.

One of the underlying references is the many streams that once flowed into False Creek. The extension of the pavement above the water’s edge is meant to suggest this disappearance underground, to stir memory and history, while at the same time reinforcing the sense of the above ground space as a visually continuous promenade and plaza.

The pond’s dominant feature, a circular granite sculpture sited in the center of the pond, is elevated above the grade of the paving so that a viewer (pedestrian or resident) can fully comprehend its form: a form that might suggest a flower, a wheel, a saw blade....This sculpture also has a spatial function to gather and hold energy as well as operating as a source of water for the pond. The three granite rings embedded in the concrete plaza reiterate the central well of the sculpture from which the water flows and activate the plaza plane. This plane is further activated by the stainless steel rings that echo both the shape of the pond ends as well as the wave movement of the water.

As the pedestrian moves into the space the sound of the falling water becomes more dominant till the extraneous sounds of the street are entirely absorbed offering respite and perhaps an opportunity for further engagement and reflection.",Downtown,Fountain or water feature,Black granite,Pedestrian mews connecting Pacific Blvd. to Marinaside Crescent,-123.117552,49.273857
9,public-art,c41d3d4c1d175871bdbd97d822d55992afde37b5,2020-06-22T10:31:46.074000+00:00,In place,"Depicts the throne of the Aztec lord Prince Nezahualcoyotl. According to tradition, Nezahualcoyotl - poet, architect, legislator, and ruler of Tetzcoco from 1418 to 1463 - found inspiration in flowers. Hence, the setting of VanDusen Botanical Garden was deemed appropriate by the Government of Mexico, who donated the sculpture.",1978,application/octet-stream,aspx?AreaId=67&ImageId=898,LThrone of Nezahualcoyotl Heide Dobler.jpg,300.0,7d91f007f5a4cc9ec3623ceee78d5056,300.0,False,VanDusen Botanical Garden,67,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=67,Shaughnessy,Point,"[-123.133832, 49.238255]",Heide Dobler,City of Vancouver,129,5251 Oak Street,,Shaughnessy,Sculpture,"Welded steel, paint","East of Camelia collection, Great Lawn",-123.133832,49.238255
